run,DMC_Method,Nmcmc_1e4,band_max,band_min,calc_mode,maxOrder,n_meas,prefix,sign_im,sign_re,temper_first_line
research/mainline/CLOSURE/2026-09-14/runs/night1/C7/runs/bbest_1,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.8306666666666667,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C1/sample/s0_coarse,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9349333333333333,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C1/sample/s0_detail,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9349333333333333,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C2_fixture/on,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9253333333333333,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C2_tonight/off,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9813333333333333,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C2_tonight/shadow,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9813333333333333,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/B0_r0,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9232,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/B0_r1,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9701333333333333,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/B0_r2,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9597333333333333,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/B0_r3,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9485333333333333,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/B0_r4,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9604,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/B0_r5,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9528,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/Bbest_r0,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9532,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/Bbest_r1,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.962,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/Bbest_r2,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9606666666666667,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/Bbest_r3,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9649333333333333,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/Bbest_r4,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.8796,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/Bbest_r5,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9694666666666667,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/P1_r0,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9593333333333334,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/P1_r1,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9528,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/P1_r2,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.8793333333333333,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/P1_r3,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9522666666666667,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/P1_r4,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9013333333333333,1 T
research/mainline/CLOSURE/_advisor_pack/FutureB_导师材料_2026-09-16/experiments/C5_dev/runs/P1_r5,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9409333333333333,1 T
