case,r1_result,naive_generated_result,dag_result,max_error_including_Op,status
HS_n3_b1/DEV/change_t,(0.0001925077020372762+0j),(0.00019250770203727623+0j),(0.00019250770203727623+0j),2.710505431213761e-20,PASS
HS_n3_b1/DEV/change_omega,(0.0002805121366384115+0j),(0.0002805121366384115+0j),(0.0002805121366384115+0j),0.0,PASS
HS_n3_b1/DEV/change_g,(2.0905461981644973e-05+0j),(2.090546198164497e-05+0j),(2.090546198164497e-05+0j),3.3881317890172014e-21,PASS
HS_n3_b1/DEV/g_zero,0j,0j,0j,0.0,PASS
HS_n3_b1/DEV/joint_parameters,(0.0019325664660600082+0j),(0.0019325664660600082+0j),(0.0019325664660600082+0j),0.0,PASS
HS_n3_b1/DEV/joint_sample,(0.0002170465170118349+0j),(0.00021704651701183496+0j),(0.00021704651701183496+0j),5.421010862427522e-20,PASS
HS_n3_b1/DEV/repeat_q_then_separate,(0.00020631536022914406+0j),(0.00020631536022914398+0j),(0.00020631536022914398+0j),8.131516293641283e-20,PASS
HS_n3_b1/DEV/repeat_dtau_then_separate,(0.0001740675902553483+0j),(0.00017406759025534826+0j),(0.00017406759025534826+0j),2.710505431213761e-20,PASS
HS_n3_b1/DEV/change_L_analytic,(4.7364558940145553e-05+0j),(4.736455894014554e-05+0j),(4.736455894014554e-05+0j),1.3552527156068805e-20,PASS
HS_n3_b1/DEV/small_nonzero_g,(2.8676902581131624e-50+0j),(2.8676902581131624e-50+0j),(2.8676902581131624e-50+0j),0.0,PASS
HS_n3_b1/DEV/longer_legal_intervals,(3.769684351441828e-05+0j),(3.769684351441829e-05+0j),(3.769684351441829e-05+0j),6.776263578034403e-21,PASS
HS_n3_b1/DEV/same_input_repeat,(0.00023812627788467457+0j),(0.00023812627788467454+0j),(0.00023812627788467454+0j),2.710505431213761e-20,PASS
HS_n3_b1/RESERVED_CONFIRMATION/base,(0.00045077952604025346+0j),(0.00045077952604025346+0j),(0.00045077952604025346+0j),0.0,PASS
HS_n3_b1/RESERVED_CONFIRMATION/change_k,(0.00019541785707432742+0j),(0.00019541785707432745+0j),(0.00019541785707432745+0j),2.710505431213761e-20,PASS
HS_n3_b1/RESERVED_CONFIRMATION/change_q,(0.0005408562706665068+0j),(0.0005408562706665069+0j),(0.0005408562706665069+0j),1.0842021724855044e-19,PASS
HS_n3_b1/RESERVED_CONFIRMATION/change_tau,(0.0003638481514675976+0j),(0.00036384815146759764+0j),(0.00036384815146759764+0j),5.421010862427522e-20,PASS
HS_n3_b1/RESERVED_CONFIRMATION/change_t,(0.00039989840922221757+0j),(0.00039989840922221757+0j),(0.00039989840922221757+0j),0.0,PASS
HS_n3_b1/RESERVED_CONFIRMATION/change_omega,(0.0005308317426183472+0j),(0.0005308317426183472+0j),(0.0005308317426183472+0j),0.0,PASS
HS_n3_b1/RESERVED_CONFIRMATION/change_g,(3.9574608596126536e-05+0j),(3.9574608596126536e-05+0j),(3.9574608596126536e-05+0j),0.0,PASS
HS_n3_b1/RESERVED_CONFIRMATION/g_zero,0j,0j,0j,0.0,PASS
HS_n3_b1/RESERVED_CONFIRMATION/joint_parameters,(0.00427345461188488+0j),(0.004273454611884882+0j),(0.004273454611884882+0j),1.734723475976807e-18,PASS
HS_n3_b1/RESERVED_CONFIRMATION/joint_sample,(0.0001547694107787635+0j),(0.00015476941077876354+0j),(0.00015476941077876354+0j),2.710505431213761e-20,PASS
HS_n3_b1/RESERVED_CONFIRMATION/repeat_q_then_separate,(0.00024670660596383826+0j),(0.0002467066059638382+0j),(0.0002467066059638382+0j),5.421010862427522e-20,PASS
HS_n3_b1/RESERVED_CONFIRMATION/repeat_dtau_then_separate,(0.00031753585300963247+0j),(0.00031753585300963247+0j),(0.00031753585300963247+0j),0.0,PASS
HS_n3_b1/RESERVED_CONFIRMATION/change_L_analytic,(2.6118000035399722e-05+0j),(2.6118000035399726e-05+0j),(2.6118000035399726e-05+0j),3.3881317890172014e-21,PASS
HS_n3_b1/RESERVED_CONFIRMATION/small_nonzero_g,(5.428615719633265e-50+0j),(5.428615719633265e-50+0j),(5.428615719633265e-50+0j),0.0,PASS
